Data,ABEV3,ASAI3,EMBJ3,MGLU3,VALE3
2023-01-02,11.768753833,18.329704409,14.16862731,23.796338746,66.616922576
2023-01-03,11.752166442,17.962917275,14.436146847,23.336949967,66.497697659
2023-01-04,11.818516006,18.416575046,14.832472086,23.428827723,66.616922576
2023-01-05,11.851690788,18.320052116,14.664033859,24.439483036,67.734656176
2023-01-06,11.876571874,18.377965874,14.416330585,25.358260594,68.807680432
2023-01-09,11.942921438,18.561359441,14.67394199,26.001404884,68.882196006
2023-01-10,12.059033174,18.571011734,14.951369658,28.022715511,69.731673542
2023-01-11,11.851690788,19.07293097,15.446776207,27.83896,69.48577215
2023-01-12,11.694110574,19.304586002,15.565673779,29.309004092,69.850898459
2023-01-13,11.511649275,19.26597683,15.605306303,31.514070231,69.910510918
2023-01-16,10.947677984,19.36249976,16.219610425,35.372935973,68.740616416
2023-01-17,11.495061884,19.36249976,16.209702294,34.821669439,68.651197728
2023-01-18,11.42871232,19.700330015,16.150253508,32.708481056,69.552836166
2023-01-19,11.312600584,19.478327276,16.219610425,35.00542495,69.850898459
2023-01-20,11.221369934,19.304586002,16.07098846,35.097302706,70.037187393
2023-01-23,11.130139284,19.565197913,16.17006977,37.118613333,70.26818567
2023-01-24,11.287719498,20.318076767,16.635751926,40.334334785,71.013341404
2023-01-25,11.370656452,20.375990525,16.635751926,39.966823762,71.683981564
2023-01-26,11.395537538,20.269815302,16.526762485,39.323679472,73.025261884
2023-01-27,11.320894279,20.289119888,16.209702294,41.620623366,71.028244518
2023-01-30,11.221369934,20.057464856,16.189886032,40.058701518,70.774891569
2023-01-31,11.329187975,18.966755747,16.199794163,40.701845808,70.424668374
2023-02-01,10.931090594,18.947451161,16.17006977,39.415557227,69.642254854
2023-02-02,10.873034725,18.841275938,16.368232389,39.874946006,66.423182085
2023-02-03,10.765216685,18.455184218,16.318691734,39.231801716,66.281602496
2023-02-06,10.798391466,18.551707148,16.308783603,37.945513135,65.454479632
2023-02-07,10.748629294,18.194572307,16.814098284,37.210491089,65.886669957
2023-02-08,10.939384289,18.10770167,16.487129961,38.772412937,66.110216677
2023-02-09,10.798391466,17.876046638,16.100712853,37.761757623,65.864315285
2023-02-10,10.665692339,17.982221861,15.971907149,36.659224554,64.679517669
2023-02-13,10.889622116,18.020831033,15.853009578,37.945513135,64.612453653
2023-02-14,10.781804076,17.808480587,16.090804722,37.302368844,64.903064389
2023-02-15,10.972559071,18.551707148,16.269151079,35.740446996,66.318860283
2023-02-16,10.848153639,18.349008995,16.090804722,35.00542495,66.460439872
2023-02-17,10.947677984,18.455184218,16.407864913,33.627258614,65.596059221
2023-02-20,,,,,
2023-02-21,,,,,
2023-02-22,10.95597168,18.175267721,15.952090887,32.340970033,65.09680488
2023-02-23,10.989146462,18.117353963,15.922366495,32.708481056,64.791291029
